ISRS;RISCHI;ISRS-RISCHI SPECIFICI
VERB;COST;COST - CONTROLLO STRUMENTAZIONE
VERB;VERI;CONF - VERBALE VERIFICA ATTIVAZIONE
M3;M3RI;M3RI - MISURA DA APPARATI RISERVA
M3;M3FO;M3FO - FORFAIT
M3;M3CO;M3CO - CONGUAGLI
M3;M3TA;M3TA - VERIFICA APPARATI MISURA
M3;CONG;M3CO - CONGUAGLI
VERBNM;RMFP;RMFP - CHIUSURA REMI STAGIONALE/TEMPORANEA/DEFINITIVA
VERBNM;RMIP;RMIP - RIAPERTURA REMI A SEGUITO DI RMFP
VERBNM;RMPR;RMPR - CABINA PROVVISORIA
VERBNM;RMEE;RMEE - APERTURA NUOVA CABINA REMI
VERBNM;RMCB;RMCB - INS. / DISINS. CARRO BOMBOLAIO
VERBNM;RMCC;RMCC - MANUTENZIONE IMPIANTO REMI
VERBNM;RMCH;RMCH - SOSTITUZIONE APPARATI VARI
VERBNM;RMCP;RMCP - CAMBIO PRESSIONE DI MISURA
VERBNM;RMLS;RMLS - LAVORI SNAM
VERBNM;RMTA;RMTA - MANUTENZIONE RIDUTTORI
FOTO;FOTO1;FOTO1 - PUNTO DI CONSEGNA TRASPORTATORE
FOTO;FOTO2;FOTO2 - PANORAMICA CABINA REMI
FOTO;FOTO3;FOTO3 - TRATTO DI MONTE
FOTO;FOTO4;FOTO4 - FILTRAGGIO, PRERISCALDO, REGOLAZIONE
FOTO;FOTO5;FOTO5 - PIPING MISURA + ORGANO PRIMARIO
FOTO;FOTO6;FOTO6 - STRUMENTAZIONE
FOTO;FOTO7;FOTO7 - MISURA AUTOMATIZZATA
FOTO;FOTO8;FOTO8 - LOCALE CALDAIA + ODORIZZANTE
FOTO;FOTO9;FOTO9 - VARIE
ALTRO;VVDM;VVDM - VERIFICA VERBALI DI MISURA
ALTRO;CPIS;CPIS - CERT. PREVENZIONE INCENDI O SOSTITUTIVI
ALTRO;UTIF;UTIF - UFF. TECNICO DI FINANZA-DOC. DOGANALI
ALTRO;VARI;COCO - COMUNICAZIONI: VARIE
ALTRO;ORDI;ORDI - ORDINATIVI / PREVENTIVI / FATTURE
ALTRO;CONT;CONT - CONTRATTI
ALTRO;SPEC;SPEC - SPECIFICHE
ALTRO;RACE;RACE - RAPPORTI CENTRALI
OLDOC;VERB;VERB - VECCHI DOC. NON CLASSIFICATI (METER READING)
OLDOC;ALTR;ALTR - VECCHI DOC. NON CLASSIFICATI (METERING)
OLDOC;GECR;GECR - COMUNICAZIONI  DA/PER GECRE
OLDOC;VCVA;VCVA - VERBALE CONSTATAZIONE VERIFICA APPARECCHIATURE
OLDOC;ORAL ;ORAL  - PUNTO DI RICONSEGNA (ALLACCIAMENTO)
OLDOC;DIPM;DIPM - DICHIARAZIONI PRESSIONE MASSIMA
OLDOC;PCON;PCON - PUNTO DI RICONSEGNA (PLANIMETRIE)
OLDOC;FFRC;FFRC - FLOW-COMP RATIFICA CONTRIBUTO
OLDOC;VEIM;VEIM - SCHEDA VERIFICA IMPIANTO
LABO;ACCUGC;ACCUGC - Certificato Accuratezza GC
LABO;GASINT;GASINT - Rapporti di prova gas interni
LABO;FUMI;FUMI - Rapporti di prova analisi dei fumi
LABO;ANAGAS;ANAGAS - Rapporti di prova analisi gas
LABO;CERTMI;CERTMI -  Certificati di taratura miscele
LABO;CERTSTRU;CERTSTRU - Certificati di taratura strumentazione
LABO;MANUPROC;MANUPROC - Manuali e procedure
LABO;ODOR;ODOR - Bollettino di prova tasso odorizzazione
